,registered,dteday,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_score,user_segment,user_type,casual
52,52.0,2012-12-25,6,50,3131,5,5,3,13,High-Value Users,registered,
53,53.0,2012-12-23,8,71,4475,5,5,4,14,High-Value Users,registered,
54,54.0,2012-12-28,3,53,3485,5,5,4,14,High-Value Users,registered,
55,55.0,2012-12-22,9,60,3967,5,5,4,14,High-Value Users,registered,
56,56.0,2012-12-29,2,48,3282,5,5,3,13,High-Value Users,registered,
57,57.0,2012-12-21,10,51,3383,5,5,4,14,High-Value Users,registered,
58,58.0,2012-11-16,45,49,3401,4,5,4,13,High-Value Users,registered,
59,59.0,2012-11-27,34,53,3680,4,5,4,13,High-Value Users,registered,
60,60.0,2012-12-11,20,47,3305,4,5,3,12,Medium-Value Users,registered,
61,61.0,2012-10-28,64,52,3700,3,5,4,12,Medium-Value Users,registered,
62,62.0,2012-12-24,7,52,3874,5,5,4,14,High-Value Users,registered,
63,63.0,2012-12-30,1,48,3564,5,5,4,14,High-Value Users,registered,
64,64.0,2012-12-29,2,70,5511,5,5,4,14,High-Value Users,registered,
65,65.0,2012-12-30,1,48,3840,5,5,4,14,High-Value Users,registered,
66,66.0,2012-11-24,37,48,4005,4,5,4,13,High-Value Users,registered,
67,67.0,2012-12-27,4,49,3864,5,5,4,14,High-Value Users,registered,
68,68.0,2012-12-25,6,52,4249,5,5,4,14,High-Value Users,registered,
69,69.0,2012-12-05,26,43,3474,4,5,4,13,High-Value Users,registered,
70,70.0,2012-12-09,22,48,4051,4,5,4,13,High-Value Users,registered,
71,71.0,2012-12-29,2,56,4842,5,5,4,14,High-Value Users,registered,
72,72.0,2012-12-02,29,54,4585,4,5,4,13,High-Value Users,registered,
73,73.0,2012-11-28,33,51,4596,4,5,4,13,High-Value Users,registered,
74,74.0,2012-11-24,37,43,3797,4,5,4,13,High-Value Users,registered,
75,75.0,2012-12-28,3,44,3896,5,5,4,14,High-Value Users,registered,
76,76.0,2012-12-21,10,49,4388,5,5,4,14,High-Value Users,registered,
77,77.0,2012-12-22,9,45,4518,5,5,4,14,High-Value Users,registered,
78,78.0,2012-11-14,47,44,4055,3,5,4,12,Medium-Value Users,registered,
79,79.0,2012-12-27,4,59,5651,5,5,4,14,High-Value Users,registered,
80,80.0,2012-12-27,4,58,5599,5,5,4,14,High-Value Users,registered,
81,81.0,2012-12-31,0,52,5265,5,5,4,14,High-Value Users,registered,
82,82.0,2012-12-24,7,50,5080,5,5,4,14,High-Value Users,registered,
83,83.0,2012-12-31,0,59,5857,5,5,4,14,High-Value Users,registered,
84,84.0,2012-12-19,12,43,4393,5,5,4,14,High-Value Users,registered,
85,85.0,2012-12-28,3,50,5511,5,5,4,14,High-Value Users,registered,
86,86.0,2012-12-30,1,60,6370,5,5,5,15,High-Value Users,registered,
87,87.0,2012-12-31,0,43,4466,5,5,4,14,High-Value Users,registered,
88,88.0,2012-12-29,2,64,6954,5,5,5,15,High-Value Users,registered,
89,89.0,2012-12-27,4,46,5153,5,5,4,14,High-Value Users,registered,
90,90.0,2012-12-29,2,45,4922,5,5,4,14,High-Value Users,registered,
91,91.0,2012-12-30,1,40,4428,5,5,4,14,High-Value Users,registered,
92,92.0,2012-12-16,15,50,5723,5,5,4,14,High-Value Users,registered,
93,93.0,2012-12-23,8,49,5983,5,5,4,14,High-Value Users,registered,
94,94.0,2012-12-27,4,52,6099,5,5,4,14,High-Value Users,registered,
95,95.0,2012-11-27,34,75,8873,4,5,5,14,High-Value Users,registered,
96,96.0,2012-11-24,37,48,6027,4,5,4,13,High-Value Users,registered,
97,97.0,2012-12-30,1,53,6380,5,5,5,15,High-Value Users,registered,
98,98.0,2012-12-23,8,52,6201,5,5,4,14,High-Value Users,registered,
99,99.0,2012-12-27,4,58,6916,5,5,5,15,High-Value Users,registered,
100,100.0,2012-12-29,2,53,6515,5,5,5,15,High-Value Users,registered,
101,101.0,2012-12-30,1,47,5746,5,5,4,14,High-Value Users,registered,
102,102.0,2012-12-30,1,59,7186,5,5,5,15,High-Value Users,registered,
103,103.0,2012-12-30,1,51,6647,5,5,5,15,High-Value Users,registered,
104,104.0,2012-12-24,7,67,8789,5,5,5,15,High-Value Users,registered,
105,105.0,2012-12-22,9,49,6170,5,5,4,14,High-Value Users,registered,
106,106.0,2012-12-27,4,48,6313,5,5,4,14,High-Value Users,registered,
107,107.0,2012-12-28,3,56,7413,5,5,5,15,High-Value Users,registered,
108,108.0,2012-12-31,0,61,7958,5,5,5,15,High-Value Users,registered,
109,109.0,2012-12-19,12,43,5922,5,5,4,14,High-Value Users,registered,
110,110.0,2012-12-29,2,53,7214,5,5,5,15,High-Value Users,registered,
111,111.0,2012-12-28,3,61,8537,5,5,5,15,High-Value Users,registered,
112,112.0,2012-12-31,0,60,8212,5,5,5,15,High-Value Users,registered,
113,113.0,2012-12-30,1,36,5033,5,4,4,13,High-Value Users,registered,
114,114.0,2012-12-31,0,58,8506,5,5,5,15,High-Value Users,registered,
115,115.0,2012-12-20,11,59,8267,5,5,5,15,High-Value Users,registered,
116,116.0,2012-12-12,19,56,7971,4,5,5,14,High-Value Users,registered,
117,117.0,2012-12-19,12,42,6262,5,5,4,14,High-Value Users,registered,
118,118.0,2012-12-23,8,48,7303,5,5,5,15,High-Value Users,registered,
119,119.0,2012-12-05,26,56,8117,4,5,5,14,High-Value Users,registered,
120,120.0,2012-12-30,1,50,7575,5,5,5,15,High-Value Users,registered,
121,121.0,2012-12-30,1,50,7485,5,5,5,15,High-Value Users,registered,
122,122.0,2012-12-06,25,42,6395,4,5,5,14,High-Value Users,registered,
123,123.0,2012-12-23,8,45,6908,5,5,5,15,High-Value Users,registered,
124,124.0,2012-12-22,9,44,6706,5,5,5,15,High-Value Users,registered,
125,125.0,2012-12-29,2,39,6355,5,5,4,14,High-Value Users,registered,
126,126.0,2012-12-12,19,55,8652,4,5,5,14,High-Value Users,registered,
127,127.0,2012-12-27,4,61,9916,5,5,5,15,High-Value Users,registered,
128,128.0,2012-12-22,9,50,7954,5,5,5,15,High-Value Users,registered,
129,129.0,2012-09-17,105,42,7097,2,5,5,12,Medium-Value Users,registered,
130,130.0,2012-12-22,9,57,9361,5,5,5,15,High-Value Users,registered,
131,131.0,2012-12-06,25,35,5734,4,4,4,12,Medium-Value Users,registered,
132,132.0,2012-11-28,33,44,7173,4,5,5,14,High-Value Users,registered,
133,133.0,2012-12-01,30,42,7156,4,5,5,14,High-Value Users,registered,
134,134.0,2012-12-15,16,53,8773,4,5,5,14,High-Value Users,registered,
135,135.0,2012-12-22,9,43,7039,5,5,5,15,High-Value Users,registered,
136,136.0,2012-12-03,28,43,7508,4,5,5,14,High-Value Users,registered,
137,137.0,2012-12-23,8,51,9157,5,5,5,15,High-Value Users,registered,
138,138.0,2012-12-20,11,41,7048,5,5,5,15,High-Value Users,registered,
139,139.0,2012-12-22,9,55,9544,5,5,5,15,High-Value Users,registered,
140,140.0,2012-10-22,70,35,6200,3,4,4,11,Medium-Value Users,registered,
141,141.0,2012-12-22,9,48,8787,5,5,5,15,High-Value Users,registered,
142,142.0,2012-12-11,20,54,9688,4,5,5,14,High-Value Users,registered,
143,143.0,2012-11-22,39,39,7228,4,5,5,14,High-Value Users,registered,
144,144.0,2012-12-31,0,54,9763,5,5,5,15,High-Value Users,registered,
145,145.0,2012-12-11,20,42,7608,4,5,5,14,High-Value Users,registered,
146,146.0,2012-12-28,3,45,8413,5,5,5,15,High-Value Users,registered,
147,147.0,2012-12-19,12,45,8197,5,5,5,15,High-Value Users,registered,
148,148.0,2012-12-21,10,49,9237,5,5,5,15,High-Value Users,registered,
149,149.0,2012-11-24,37,42,8082,4,5,5,14,High-Value Users,registered,
150,150.0,2012-12-31,0,56,10675,5,5,5,15,High-Value Users,registered,
151,151.0,2012-12-28,3,49,9331,5,5,5,15,High-Value Users,registered,
152,152.0,2012-10-31,61,40,7826,3,5,5,13,High-Value Users,registered,
153,153.0,2012-12-08,23,47,9405,4,5,5,14,High-Value Users,registered,
154,154.0,2012-11-22,39,42,8121,4,5,5,14,High-Value Users,registered,
155,155.0,2012-12-04,27,59,11614,4,5,5,14,High-Value Users,registered,
156,156.0,2012-11-01,60,59,11837,3,5,5,13,High-Value Users,registered,
157,157.0,2012-11-16,45,37,7464,4,5,5,14,High-Value Users,registered,
158,158.0,2012-12-02,29,45,8893,4,5,5,14,High-Value Users,registered,
159,159.0,2012-12-18,13,41,8262,5,5,5,15,High-Value Users,registered,
160,160.0,2012-11-20,41,30,6339,4,4,4,12,Medium-Value Users,registered,
161,161.0,2012-12-05,26,59,12081,4,5,5,14,High-Value Users,registered,
162,162.0,2012-12-18,13,48,9543,5,5,5,15,High-Value Users,registered,
163,163.0,2012-11-09,52,50,10580,3,5,5,13,High-Value Users,registered,
164,164.0,2012-12-19,12,43,8663,5,5,5,15,High-Value Users,registered,
165,165.0,2012-12-31,0,38,7633,5,5,5,15,High-Value Users,registered,
166,166.0,2012-09-19,103,40,8137,2,5,5,12,Medium-Value Users,registered,
167,167.0,2012-11-14,47,33,7262,3,4,5,12,Medium-Value Users,registered,
168,168.0,2012-12-20,11,54,11666,5,5,5,15,High-Value Users,registered,
169,169.0,2012-12-19,12,44,9453,5,5,5,15,High-Value Users,registered,
170,170.0,2012-12-01,30,50,10777,4,5,5,14,High-Value Users,registered,
171,171.0,2012-12-20,11,42,8997,5,5,5,15,High-Value Users,registered,
172,172.0,2012-12-31,0,33,7617,5,4,5,14,High-Value Users,registered,
173,173.0,2012-12-28,3,35,8134,5,4,5,14,High-Value Users,registered,
174,174.0,2012-11-29,32,36,7907,4,4,5,13,High-Value Users,registered,
175,175.0,2012-12-08,23,46,10591,4,5,5,14,High-Value Users,registered,
176,176.0,2012-11-09,52,53,12095,3,5,5,13,High-Value Users,registered,
177,177.0,2012-12-28,3,44,10149,5,5,5,15,High-Value Users,registered,
178,178.0,2012-12-15,16,50,11076,4,5,5,14,High-Value Users,registered,
179,179.0,2012-12-10,21,33,7668,4,4,5,13,High-Value Users,registered,
180,180.0,2012-12-14,17,39,8984,4,5,5,14,High-Value Users,registered,
181,181.0,2012-12-20,11,37,8988,5,5,5,15,High-Value Users,registered,
182,182.0,2012-12-03,28,31,7274,4,4,5,13,High-Value Users,registered,
183,183.0,2012-12-19,12,41,9674,5,5,5,15,High-Value Users,registered,
184,184.0,2012-12-31,0,43,10274,5,5,5,15,High-Value Users,registered,
185,185.0,2012-12-31,0,36,8607,5,4,5,14,High-Value Users,registered,
186,186.0,2012-12-12,19,43,10347,4,5,5,14,High-Value Users,registered,
187,187.0,2012-12-31,0,38,9399,5,5,5,15,High-Value Users,registered,
188,188.0,2012-12-27,4,44,10624,5,5,5,15,High-Value Users,registered,
189,189.0,2012-11-28,33,46,10835,4,5,5,14,High-Value Users,registered,
190,190.0,2012-12-10,21,34,8067,4,4,5,13,High-Value Users,registered,
191,191.0,2012-12-18,13,37,9351,5,5,5,15,High-Value Users,registered,
192,192.0,2012-12-17,14,41,10763,5,5,5,15,High-Value Users,registered,
193,193.0,2012-12-11,20,35,8914,4,4,5,13,High-Value Users,registered,
194,194.0,2012-12-17,14,31,7418,5,4,5,14,High-Value Users,registered,
195,195.0,2012-11-23,38,27,6670,4,4,5,13,High-Value Users,registered,
196,196.0,2012-12-17,14,35,9328,5,4,5,14,High-Value Users,registered,
197,197.0,2012-12-28,3,36,8804,5,4,5,14,High-Value Users,registered,
198,198.0,2012-11-21,40,35,8457,4,4,5,13,High-Value Users,registered,
199,199.0,2012-12-21,10,34,8320,5,4,5,14,High-Value Users,registered,
200,200.0,2012-12-13,18,29,7253,4,4,5,13,High-Value Users,registered,
201,201.0,2012-11-29,32,34,9129,4,4,5,13,High-Value Users,registered,
202,202.0,2012-11-08,53,37,9844,3,5,5,13,High-Value Users,registered,
203,203.0,2012-12-19,12,36,9603,5,4,5,14,High-Value Users,registered,
204,204.0,2012-12-07,24,28,6961,4,4,5,13,High-Value Users,registered,
205,205.0,2012-12-21,10,27,7106,5,4,5,14,High-Value Users,registered,
206,206.0,2012-12-27,4,39,10335,5,5,5,15,High-Value Users,registered,
207,207.0,2012-12-12,19,39,10020,4,5,5,14,High-Value Users,registered,
208,208.0,2012-12-28,3,30,8098,5,4,5,14,High-Value Users,registered,
209,209.0,2012-12-19,12,40,11207,5,5,5,15,High-Value Users,registered,
210,210.0,2012-12-09,22,28,7567,4,4,5,13,High-Value Users,registered,
211,211.0,2012-12-18,13,32,8392,5,4,5,14,High-Value Users,registered,
212,212.0,2012-12-08,23,33,9175,4,4,5,13,High-Value Users,registered,
213,213.0,2012-12-11,20,27,7523,4,4,5,13,High-Value Users,registered,
214,214.0,2012-12-21,10,36,10485,5,4,5,14,High-Value Users,registered,
215,215.0,2012-12-16,15,22,6588,5,4,5,14,High-Value Users,registered,
216,216.0,2012-12-20,11,37,10657,5,5,5,15,High-Value Users,registered,
217,217.0,2012-11-06,55,30,8607,3,4,5,12,Medium-Value Users,registered,
218,218.0,2012-12-18,13,38,10423,5,5,5,15,High-Value Users,registered,
219,219.0,2012-12-01,30,27,7771,4,4,5,13,High-Value Users,registered,
220,220.0,2012-12-12,19,38,10444,4,5,5,14,High-Value Users,registered,
221,221.0,2012-08-31,122,30,8770,2,4,5,11,Medium-Value Users,registered,
222,222.0,2012-12-06,25,38,10989,4,5,5,14,High-Value Users,registered,
223,223.0,2012-09-30,92,34,10001,3,4,5,12,Medium-Value Users,registered,
224,224.0,2012-12-10,21,33,10171,4,4,5,13,High-Value Users,registered,
225,225.0,2012-12-15,16,34,9884,4,4,5,13,High-Value Users,registered,
226,226.0,2012-12-11,20,36,10800,4,4,5,13,High-Value Users,registered,
227,227.0,2012-12-27,4,31,9146,5,4,5,14,High-Value Users,registered,
228,228.0,2012-12-28,3,39,11829,5,5,5,15,High-Value Users,registered,
229,229.0,2012-12-07,24,27,8138,4,4,5,13,High-Value Users,registered,
230,230.0,2012-12-13,18,34,11310,4,4,5,13,High-Value Users,registered,
231,231.0,2012-12-19,12,28,8210,5,4,5,14,High-Value Users,registered,
232,232.0,2012-12-15,16,32,9914,4,4,5,13,High-Value Users,registered,
233,233.0,2012-12-04,27,29,8321,4,4,5,13,High-Value Users,registered,
234,234.0,2012-12-21,10,25,7858,5,4,5,14,High-Value Users,registered,
235,235.0,2012-12-18,13,26,8240,5,4,5,14,High-Value Users,registered,
236,236.0,2012-12-21,10,19,5853,5,4,4,13,High-Value Users,registered,
237,237.0,2012-11-17,44,21,6430,4,4,5,13,High-Value Users,registered,
238,238.0,2012-12-28,3,26,8180,5,4,5,14,High-Value Users,registered,
239,239.0,2012-11-05,56,28,8830,3,4,5,12,Medium-Value Users,registered,
240,240.0,2012-12-13,18,31,9400,4,4,5,13,High-Value Users,registered,
241,241.0,2012-11-30,31,36,11027,4,4,5,13,High-Value Users,registered,
242,242.0,2012-10-25,67,28,8643,3,4,5,12,Medium-Value Users,registered,
243,243.0,2012-12-12,19,29,9926,4,4,5,13,High-Value Users,registered,
244,244.0,2012-12-14,17,34,11337,4,4,5,13,High-Value Users,registered,
245,245.0,2012-10-24,68,28,9142,3,4,5,12,Medium-Value Users,registered,
246,246.0,2012-12-31,0,25,7937,5,4,5,14,High-Value Users,registered,
247,247.0,2012-10-25,67,36,11749,3,4,5,12,Medium-Value Users,registered,
248,248.0,2012-12-16,15,26,7800,5,4,5,14,High-Value Users,registered,
249,249.0,2012-11-07,54,14,4629,3,4,4,11,Medium-Value Users,registered,
250,250.0,2012-12-15,16,15,4848,4,4,4,12,Medium-Value Users,registered,
251,251.0,2012-12-14,17,24,7506,4,4,5,13,High-Value Users,registered,
252,252.0,2012-12-14,17,33,10723,4,4,5,13,High-Value Users,registered,
253,253.0,2012-12-21,10,33,11226,5,4,5,14,High-Value Users,registered,
254,254.0,2012-09-19,103,23,7776,2,4,5,11,Medium-Value Users,registered,
255,255.0,2012-12-09,22,30,9881,4,4,5,13,High-Value Users,registered,
256,256.0,2012-11-10,51,31,10231,3,4,5,12,Medium-Value Users,registered,
257,257.0,2012-12-06,25,20,6810,4,4,5,13,High-Value Users,registered,
258,258.0,2012-11-28,33,25,8852,4,4,5,13,High-Value Users,registered,
259,259.0,2012-10-31,61,17,5471,3,4,4,11,Medium-Value Users,registered,
260,260.0,2012-12-16,15,30,10314,5,4,5,14,High-Value Users,registered,
261,261.0,2012-10-17,75,16,5814,3,4,4,11,Medium-Value Users,registered,
262,262.0,2012-11-30,31,27,8880,4,4,5,13,High-Value Users,registered,
263,263.0,2012-09-29,93,18,6194,3,4,4,11,Medium-Value Users,registered,
264,264.0,2012-12-18,13,22,7555,5,4,5,14,High-Value Users,registered,
265,265.0,2012-12-21,10,30,9753,5,4,5,14,High-Value Users,registered,
266,266.0,2012-09-21,101,18,6001,3,4,4,11,Medium-Value Users,registered,
267,267.0,2012-11-18,43,20,6756,4,4,5,13,High-Value Users,registered,
268,268.0,2012-12-08,23,20,7338,4,4,5,13,High-Value Users,registered,
269,269.0,2012-12-07,24,16,5695,4,4,4,12,Medium-Value Users,registered,
270,270.0,2012-12-01,30,30,10489,4,4,5,13,High-Value Users,registered,
271,271.0,2012-12-17,14,18,6346,5,4,4,13,High-Value Users,registered,
272,272.0,2012-12-12,19,14,5153,4,4,4,12,Medium-Value Users,registered,
273,273.0,2012-12-10,21,22,7701,4,4,5,13,High-Value Users,registered,
274,274.0,2012-12-15,16,18,6457,4,4,5,13,High-Value Users,registered,
275,275.0,2012-08-30,123,17,6440,2,4,5,11,Medium-Value Users,registered,
276,276.0,2012-11-26,35,21,7422,4,4,5,13,High-Value Users,registered,
277,277.0,2012-10-19,73,16,5522,3,4,4,11,Medium-Value Users,registered,
278,278.0,2012-11-09,52,21,7919,3,4,5,12,Medium-Value Users,registered,
279,279.0,2012-10-11,81,18,6723,3,4,5,12,Medium-Value Users,registered,
280,280.0,2012-11-12,49,16,5512,3,4,4,11,Medium-Value Users,registered,
281,281.0,2012-12-20,11,18,6350,5,4,4,13,High-Value Users,registered,
282,282.0,2012-11-13,48,17,6246,3,4,4,11,Medium-Value Users,registered,
283,283.0,2012-09-07,115,15,4971,2,4,4,10,Medium-Value Users,registered,
284,284.0,2012-12-03,28,22,8314,4,4,5,13,High-Value Users,registered,
285,285.0,2012-07-12,172,11,3538,2,4,4,10,Medium-Value Users,registered,
286,286.0,2012-11-29,32,17,5925,4,4,4,12,Medium-Value Users,registered,
287,287.0,2012-12-17,14,18,6405,5,4,5,14,High-Value Users,registered,
288,288.0,2012-10-19,73,24,9039,3,4,5,12,Medium-Value Users,registered,
289,289.0,2012-12-16,15,22,7975,5,4,5,14,High-Value Users,registered,
290,290.0,2012-11-14,47,11,4660,3,4,4,11,Medium-Value Users,registered,
291,291.0,2012-12-10,21,17,6454,4,4,5,13,High-Value Users,registered,
292,292.0,2012-12-16,15,23,8540,5,4,5,14,High-Value Users,registered,
293,293.0,2012-09-04,118,11,4108,2,4,4,10,Medium-Value Users,registered,
294,294.0,2012-10-08,84,14,4933,3,4,4,11,Medium-Value Users,registered,
295,295.0,2012-11-21,40,9,3494,4,3,4,11,Medium-Value Users,registered,
296,296.0,2012-08-21,132,17,6316,2,4,4,10,Medium-Value Users,registered,
297,297.0,2012-12-21,10,14,5079,5,4,4,13,High-Value Users,registered,
298,298.0,2012-11-20,41,20,7364,4,4,5,13,High-Value Users,registered,
299,299.0,2012-10-13,79,22,8342,3,4,5,12,Medium-Value Users,registered,
300,300.0,2012-12-13,18,15,5940,4,4,4,12,Medium-Value Users,registered,
301,301.0,2012-10-17,75,14,5312,3,4,4,11,Medium-Value Users,registered,
302,302.0,2012-12-14,17,21,7520,4,4,5,13,High-Value Users,registered,
303,303.0,2012-12-20,11,12,4621,5,4,4,13,High-Value Users,registered,
304,304.0,2012-11-09,52,11,4427,3,4,4,11,Medium-Value Users,registered,
305,305.0,2012-12-14,17,15,5633,4,4,4,12,Medium-Value Users,registered,
306,306.0,2012-11-16,45,12,4614,4,4,4,12,Medium-Value Users,registered,
307,307.0,2012-12-18,13,8,3684,5,3,4,12,Medium-Value Users,registered,
308,308.0,2012-12-10,21,15,5690,4,4,4,12,Medium-Value Users,registered,
309,309.0,2012-12-19,12,12,5384,5,4,4,13,High-Value Users,registered,
310,310.0,2012-12-12,19,16,6166,4,4,4,12,Medium-Value Users,registered,
311,311.0,2012-12-02,29,14,5566,4,4,4,12,Medium-Value Users,registered,
312,312.0,2012-11-12,49,17,6855,3,4,5,12,Medium-Value Users,registered,
313,313.0,2012-11-30,31,13,4713,4,4,4,12,Medium-Value Users,registered,
314,314.0,2012-12-17,14,17,7422,5,4,5,14,High-Value Users,registered,
315,315.0,2012-09-21,101,12,5073,3,4,4,11,Medium-Value Users,registered,
316,316.0,2012-11-28,33,19,7801,4,4,5,13,High-Value Users,registered,
317,317.0,2012-12-04,27,16,6624,4,4,5,13,High-Value Users,registered,
318,318.0,2012-12-01,30,15,6107,4,4,4,12,Medium-Value Users,registered,
319,319.0,2012-11-03,58,10,4269,3,4,4,11,Medium-Value Users,registered,
320,320.0,2012-11-21,40,20,7653,4,4,5,13,High-Value Users,registered,
321,321.0,2012-11-08,53,10,4063,3,4,4,11,Medium-Value Users,registered,
322,322.0,2012-12-11,20,5,2325,4,3,3,10,Medium-Value Users,registered,
323,323.0,2012-12-18,13,19,7958,5,4,5,14,High-Value Users,registered,
324,324.0,2012-11-11,50,13,5881,3,4,4,11,Medium-Value Users,registered,
325,325.0,2012-11-19,42,13,5211,4,4,4,12,Medium-Value Users,registered,
326,326.0,2012-11-29,32,12,4773,4,4,4,12,Medium-Value Users,registered,
327,327.0,2012-12-15,16,11,4595,4,4,4,12,Medium-Value Users,registered,
328,328.0,2012-12-15,16,12,4759,4,4,4,12,Medium-Value Users,registered,
329,329.0,2012-12-19,12,16,6812,5,4,5,14,High-Value Users,registered,
330,330.0,2012-12-14,17,16,7280,4,4,5,13,High-Value Users,registered,
331,331.0,2012-12-02,29,14,5786,4,4,4,12,Medium-Value Users,registered,
332,332.0,2012-11-09,52,15,6233,3,4,4,11,Medium-Value Users,registered,
333,333.0,2012-12-17,14,12,4440,5,4,4,13,High-Value Users,registered,
334,334.0,2012-12-18,13,13,5277,5,4,4,13,High-Value Users,registered,
335,335.0,2012-11-20,41,16,6838,4,4,5,13,High-Value Users,registered,
336,336.0,2012-12-07,24,6,2378,4,3,3,10,Medium-Value Users,registered,
337,337.0,2012-12-07,24,14,6288,4,4,4,12,Medium-Value Users,registered,
338,338.0,2012-11-27,34,14,6249,4,4,4,12,Medium-Value Users,registered,
339,339.0,2012-11-03,58,10,4622,3,4,4,11,Medium-Value Users,registered,
340,340.0,2012-09-07,115,12,5371,2,4,4,10,Medium-Value Users,registered,
341,341.0,2012-12-08,23,9,4284,4,3,4,11,Medium-Value Users,registered,
342,342.0,2012-11-11,50,14,7402,3,4,5,12,Medium-Value Users,registered,
343,343.0,2012-11-17,44,13,5625,4,4,4,12,Medium-Value Users,registered,
344,344.0,2012-11-13,48,9,3680,3,3,4,10,Medium-Value Users,registered,
345,345.0,2012-10-09,83,8,3029,3,3,3,9,Low-Value Users,registered,
346,346.0,2012-12-20,11,17,7490,5,4,5,14,High-Value Users,registered,
347,347.0,2012-12-02,29,17,8063,4,4,5,13,High-Value Users,registered,
348,348.0,2012-11-10,51,15,6760,3,4,5,12,Medium-Value Users,registered,
349,349.0,2012-11-02,59,14,6179,3,4,4,11,Medium-Value Users,registered,
350,350.0,2012-12-16,15,12,5050,5,4,4,13,High-Value Users,registered,
