,registered,dteday,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_score,user_segment
75,75,2012-12-28,3,44,3896,5,5,4,14,High-Value Users
76,76,2012-12-21,10,49,4388,5,5,4,14,High-Value Users
77,77,2012-12-22,9,45,4518,5,5,4,14,High-Value Users
78,78,2012-11-14,47,44,4055,3,5,4,12,Medium-Value Users
79,79,2012-12-27,4,59,5651,5,5,4,14,High-Value Users
80,80,2012-12-27,4,58,5599,5,5,4,14,High-Value Users
81,81,2012-12-31,0,52,5265,5,5,4,14,High-Value Users
82,82,2012-12-24,7,50,5080,5,5,4,14,High-Value Users
83,83,2012-12-31,0,59,5857,5,5,4,14,High-Value Users
84,84,2012-12-19,12,43,4393,5,5,4,14,High-Value Users
85,85,2012-12-28,3,50,5511,5,5,4,14,High-Value Users
86,86,2012-12-30,1,60,6370,5,5,5,15,High-Value Users
87,87,2012-12-31,0,43,4466,5,5,4,14,High-Value Users
88,88,2012-12-29,2,64,6954,5,5,5,15,High-Value Users
89,89,2012-12-27,4,46,5153,5,5,4,14,High-Value Users
90,90,2012-12-29,2,45,4922,5,5,4,14,High-Value Users
91,91,2012-12-30,1,40,4428,5,5,4,14,High-Value Users
92,92,2012-12-16,15,50,5723,5,5,4,14,High-Value Users
93,93,2012-12-23,8,49,5983,5,5,4,14,High-Value Users
94,94,2012-12-27,4,52,6099,5,5,4,14,High-Value Users
95,95,2012-11-27,34,75,8873,4,5,5,14,High-Value Users
96,96,2012-11-24,37,48,6027,4,5,4,13,High-Value Users
97,97,2012-12-30,1,53,6380,5,5,5,15,High-Value Users
98,98,2012-12-23,8,52,6201,5,5,4,14,High-Value Users
99,99,2012-12-27,4,58,6916,5,5,5,15,High-Value Users
100,100,2012-12-29,2,53,6515,5,5,5,15,High-Value Users
101,101,2012-12-30,1,47,5746,5,5,4,14,High-Value Users
102,102,2012-12-30,1,59,7186,5,5,5,15,High-Value Users
103,103,2012-12-30,1,51,6647,5,5,5,15,High-Value Users
104,104,2012-12-24,7,67,8789,5,5,5,15,High-Value Users
105,105,2012-12-22,9,49,6170,5,5,4,14,High-Value Users
106,106,2012-12-27,4,48,6313,5,5,4,14,High-Value Users
107,107,2012-12-28,3,56,7413,5,5,5,15,High-Value Users
108,108,2012-12-31,0,61,7958,5,5,5,15,High-Value Users
109,109,2012-12-19,12,43,5922,5,5,4,14,High-Value Users
110,110,2012-12-29,2,53,7214,5,5,5,15,High-Value Users
111,111,2012-12-28,3,61,8537,5,5,5,15,High-Value Users
112,112,2012-12-31,0,60,8212,5,5,5,15,High-Value Users
113,113,2012-12-30,1,36,5033,5,4,4,13,High-Value Users
114,114,2012-12-31,0,58,8506,5,5,5,15,High-Value Users
115,115,2012-12-20,11,59,8267,5,5,5,15,High-Value Users
116,116,2012-12-12,19,56,7971,4,5,5,14,High-Value Users
117,117,2012-12-19,12,42,6262,5,5,4,14,High-Value Users
118,118,2012-12-23,8,48,7303,5,5,5,15,High-Value Users
119,119,2012-12-05,26,56,8117,4,5,5,14,High-Value Users
120,120,2012-12-30,1,50,7575,5,5,5,15,High-Value Users
121,121,2012-12-30,1,50,7485,5,5,5,15,High-Value Users
122,122,2012-12-06,25,42,6395,4,5,5,14,High-Value Users
123,123,2012-12-23,8,45,6908,5,5,5,15,High-Value Users
124,124,2012-12-22,9,44,6706,5,5,5,15,High-Value Users
125,125,2012-12-29,2,39,6355,5,5,4,14,High-Value Users
126,126,2012-12-12,19,55,8652,4,5,5,14,High-Value Users
127,127,2012-12-27,4,61,9916,5,5,5,15,High-Value Users
128,128,2012-12-22,9,50,7954,5,5,5,15,High-Value Users
129,129,2012-09-17,105,42,7097,2,5,5,12,Medium-Value Users
130,130,2012-12-22,9,57,9361,5,5,5,15,High-Value Users
131,131,2012-12-06,25,35,5734,4,4,4,12,Medium-Value Users
132,132,2012-11-28,33,44,7173,4,5,5,14,High-Value Users
133,133,2012-12-01,30,42,7156,4,5,5,14,High-Value Users
134,134,2012-12-15,16,53,8773,4,5,5,14,High-Value Users
135,135,2012-12-22,9,43,7039,5,5,5,15,High-Value Users
136,136,2012-12-03,28,43,7508,4,5,5,14,High-Value Users
137,137,2012-12-23,8,51,9157,5,5,5,15,High-Value Users
138,138,2012-12-20,11,41,7048,5,5,5,15,High-Value Users
139,139,2012-12-22,9,55,9544,5,5,5,15,High-Value Users
140,140,2012-10-22,70,35,6200,3,4,4,11,Medium-Value Users
141,141,2012-12-22,9,48,8787,5,5,5,15,High-Value Users
142,142,2012-12-11,20,54,9688,4,5,5,14,High-Value Users
143,143,2012-11-22,39,39,7228,4,5,5,14,High-Value Users
144,144,2012-12-31,0,54,9763,5,5,5,15,High-Value Users
145,145,2012-12-11,20,42,7608,4,5,5,14,High-Value Users
146,146,2012-12-28,3,45,8413,5,5,5,15,High-Value Users
147,147,2012-12-19,12,45,8197,5,5,5,15,High-Value Users
148,148,2012-12-21,10,49,9237,5,5,5,15,High-Value Users
149,149,2012-11-24,37,42,8082,4,5,5,14,High-Value Users
150,150,2012-12-31,0,56,10675,5,5,5,15,High-Value Users
151,151,2012-12-28,3,49,9331,5,5,5,15,High-Value Users
152,152,2012-10-31,61,40,7826,3,5,5,13,High-Value Users
153,153,2012-12-08,23,47,9405,4,5,5,14,High-Value Users
154,154,2012-11-22,39,42,8121,4,5,5,14,High-Value Users
155,155,2012-12-04,27,59,11614,4,5,5,14,High-Value Users
156,156,2012-11-01,60,59,11837,3,5,5,13,High-Value Users
157,157,2012-11-16,45,37,7464,4,5,5,14,High-Value Users
158,158,2012-12-02,29,45,8893,4,5,5,14,High-Value Users
159,159,2012-12-18,13,41,8262,5,5,5,15,High-Value Users
160,160,2012-11-20,41,30,6339,4,4,4,12,Medium-Value Users
161,161,2012-12-05,26,59,12081,4,5,5,14,High-Value Users
162,162,2012-12-18,13,48,9543,5,5,5,15,High-Value Users
163,163,2012-11-09,52,50,10580,3,5,5,13,High-Value Users
164,164,2012-12-19,12,43,8663,5,5,5,15,High-Value Users
165,165,2012-12-31,0,38,7633,5,5,5,15,High-Value Users
166,166,2012-09-19,103,40,8137,2,5,5,12,Medium-Value Users
167,167,2012-11-14,47,33,7262,3,4,5,12,Medium-Value Users
168,168,2012-12-20,11,54,11666,5,5,5,15,High-Value Users
169,169,2012-12-19,12,44,9453,5,5,5,15,High-Value Users
170,170,2012-12-01,30,50,10777,4,5,5,14,High-Value Users
171,171,2012-12-20,11,42,8997,5,5,5,15,High-Value Users
172,172,2012-12-31,0,33,7617,5,4,5,14,High-Value Users
173,173,2012-12-28,3,35,8134,5,4,5,14,High-Value Users
174,174,2012-11-29,32,36,7907,4,4,5,13,High-Value Users
175,175,2012-12-08,23,46,10591,4,5,5,14,High-Value Users
176,176,2012-11-09,52,53,12095,3,5,5,13,High-Value Users
177,177,2012-12-28,3,44,10149,5,5,5,15,High-Value Users
178,178,2012-12-15,16,50,11076,4,5,5,14,High-Value Users
179,179,2012-12-10,21,33,7668,4,4,5,13,High-Value Users
180,180,2012-12-14,17,39,8984,4,5,5,14,High-Value Users
181,181,2012-12-20,11,37,8988,5,5,5,15,High-Value Users
182,182,2012-12-03,28,31,7274,4,4,5,13,High-Value Users
183,183,2012-12-19,12,41,9674,5,5,5,15,High-Value Users
184,184,2012-12-31,0,43,10274,5,5,5,15,High-Value Users
185,185,2012-12-31,0,36,8607,5,4,5,14,High-Value Users
186,186,2012-12-12,19,43,10347,4,5,5,14,High-Value Users
187,187,2012-12-31,0,38,9399,5,5,5,15,High-Value Users
188,188,2012-12-27,4,44,10624,5,5,5,15,High-Value Users
189,189,2012-11-28,33,46,10835,4,5,5,14,High-Value Users
190,190,2012-12-10,21,34,8067,4,4,5,13,High-Value Users
191,191,2012-12-18,13,37,9351,5,5,5,15,High-Value Users
192,192,2012-12-17,14,41,10763,5,5,5,15,High-Value Users
193,193,2012-12-11,20,35,8914,4,4,5,13,High-Value Users
194,194,2012-12-17,14,31,7418,5,4,5,14,High-Value Users
195,195,2012-11-23,38,27,6670,4,4,5,13,High-Value Users
196,196,2012-12-17,14,35,9328,5,4,5,14,High-Value Users
197,197,2012-12-28,3,36,8804,5,4,5,14,High-Value Users
198,198,2012-11-21,40,35,8457,4,4,5,13,High-Value Users
199,199,2012-12-21,10,34,8320,5,4,5,14,High-Value Users
200,200,2012-12-13,18,29,7253,4,4,5,13,High-Value Users
201,201,2012-11-29,32,34,9129,4,4,5,13,High-Value Users
202,202,2012-11-08,53,37,9844,3,5,5,13,High-Value Users
203,203,2012-12-19,12,36,9603,5,4,5,14,High-Value Users
204,204,2012-12-07,24,28,6961,4,4,5,13,High-Value Users
205,205,2012-12-21,10,27,7106,5,4,5,14,High-Value Users
206,206,2012-12-27,4,39,10335,5,5,5,15,High-Value Users
207,207,2012-12-12,19,39,10020,4,5,5,14,High-Value Users
208,208,2012-12-28,3,30,8098,5,4,5,14,High-Value Users
209,209,2012-12-19,12,40,11207,5,5,5,15,High-Value Users
210,210,2012-12-09,22,28,7567,4,4,5,13,High-Value Users
211,211,2012-12-18,13,32,8392,5,4,5,14,High-Value Users
212,212,2012-12-08,23,33,9175,4,4,5,13,High-Value Users
213,213,2012-12-11,20,27,7523,4,4,5,13,High-Value Users
214,214,2012-12-21,10,36,10485,5,4,5,14,High-Value Users
215,215,2012-12-16,15,22,6588,5,4,5,14,High-Value Users
216,216,2012-12-20,11,37,10657,5,5,5,15,High-Value Users
217,217,2012-11-06,55,30,8607,3,4,5,12,Medium-Value Users
218,218,2012-12-18,13,38,10423,5,5,5,15,High-Value Users
219,219,2012-12-01,30,27,7771,4,4,5,13,High-Value Users
220,220,2012-12-12,19,38,10444,4,5,5,14,High-Value Users
221,221,2012-08-31,122,30,8770,2,4,5,11,Medium-Value Users
222,222,2012-12-06,25,38,10989,4,5,5,14,High-Value Users
223,223,2012-09-30,92,34,10001,3,4,5,12,Medium-Value Users
224,224,2012-12-10,21,33,10171,4,4,5,13,High-Value Users
225,225,2012-12-15,16,34,9884,4,4,5,13,High-Value Users
226,226,2012-12-11,20,36,10800,4,4,5,13,High-Value Users
227,227,2012-12-27,4,31,9146,5,4,5,14,High-Value Users
228,228,2012-12-28,3,39,11829,5,5,5,15,High-Value Users
229,229,2012-12-07,24,27,8138,4,4,5,13,High-Value Users
230,230,2012-12-13,18,34,11310,4,4,5,13,High-Value Users
231,231,2012-12-19,12,28,8210,5,4,5,14,High-Value Users
232,232,2012-12-15,16,32,9914,4,4,5,13,High-Value Users
233,233,2012-12-04,27,29,8321,4,4,5,13,High-Value Users
234,234,2012-12-21,10,25,7858,5,4,5,14,High-Value Users
235,235,2012-12-18,13,26,8240,5,4,5,14,High-Value Users
236,236,2012-12-21,10,19,5853,5,4,4,13,High-Value Users
237,237,2012-11-17,44,21,6430,4,4,5,13,High-Value Users
238,238,2012-12-28,3,26,8180,5,4,5,14,High-Value Users
239,239,2012-11-05,56,28,8830,3,4,5,12,Medium-Value Users
240,240,2012-12-13,18,31,9400,4,4,5,13,High-Value Users
241,241,2012-11-30,31,36,11027,4,4,5,13,High-Value Users
242,242,2012-10-25,67,28,8643,3,4,5,12,Medium-Value Users
243,243,2012-12-12,19,29,9926,4,4,5,13,High-Value Users
244,244,2012-12-14,17,34,11337,4,4,5,13,High-Value Users
245,245,2012-10-24,68,28,9142,3,4,5,12,Medium-Value Users
246,246,2012-12-31,0,25,7937,5,4,5,14,High-Value Users
247,247,2012-10-25,67,36,11749,3,4,5,12,Medium-Value Users
248,248,2012-12-16,15,26,7800,5,4,5,14,High-Value Users
249,249,2012-11-07,54,14,4629,3,4,4,11,Medium-Value Users
250,250,2012-12-15,16,15,4848,4,4,4,12,Medium-Value Users
251,251,2012-12-14,17,24,7506,4,4,5,13,High-Value Users
252,252,2012-12-14,17,33,10723,4,4,5,13,High-Value Users
253,253,2012-12-21,10,33,11226,5,4,5,14,High-Value Users
254,254,2012-09-19,103,23,7776,2,4,5,11,Medium-Value Users
255,255,2012-12-09,22,30,9881,4,4,5,13,High-Value Users
256,256,2012-11-10,51,31,10231,3,4,5,12,Medium-Value Users
257,257,2012-12-06,25,20,6810,4,4,5,13,High-Value Users
258,258,2012-11-28,33,25,8852,4,4,5,13,High-Value Users
259,259,2012-10-31,61,17,5471,3,4,4,11,Medium-Value Users
260,260,2012-12-16,15,30,10314,5,4,5,14,High-Value Users
261,261,2012-10-17,75,16,5814,3,4,4,11,Medium-Value Users
262,262,2012-11-30,31,27,8880,4,4,5,13,High-Value Users
263,263,2012-09-29,93,18,6194,3,4,4,11,Medium-Value Users
264,264,2012-12-18,13,22,7555,5,4,5,14,High-Value Users
265,265,2012-12-21,10,30,9753,5,4,5,14,High-Value Users
266,266,2012-09-21,101,18,6001,3,4,4,11,Medium-Value Users
267,267,2012-11-18,43,20,6756,4,4,5,13,High-Value Users
268,268,2012-12-08,23,20,7338,4,4,5,13,High-Value Users
269,269,2012-12-07,24,16,5695,4,4,4,12,Medium-Value Users
270,270,2012-12-01,30,30,10489,4,4,5,13,High-Value Users
271,271,2012-12-17,14,18,6346,5,4,4,13,High-Value Users
272,272,2012-12-12,19,14,5153,4,4,4,12,Medium-Value Users
273,273,2012-12-10,21,22,7701,4,4,5,13,High-Value Users
274,274,2012-12-15,16,18,6457,4,4,5,13,High-Value Users
275,275,2012-08-30,123,17,6440,2,4,5,11,Medium-Value Users
276,276,2012-11-26,35,21,7422,4,4,5,13,High-Value Users
277,277,2012-10-19,73,16,5522,3,4,4,11,Medium-Value Users
278,278,2012-11-09,52,21,7919,3,4,5,12,Medium-Value Users
279,279,2012-10-11,81,18,6723,3,4,5,12,Medium-Value Users
280,280,2012-11-12,49,16,5512,3,4,4,11,Medium-Value Users
281,281,2012-12-20,11,18,6350,5,4,4,13,High-Value Users
282,282,2012-11-13,48,17,6246,3,4,4,11,Medium-Value Users
283,283,2012-09-07,115,15,4971,2,4,4,10,Medium-Value Users
284,284,2012-12-03,28,22,8314,4,4,5,13,High-Value Users
285,285,2012-07-12,172,11,3538,2,4,4,10,Medium-Value Users
286,286,2012-11-29,32,17,5925,4,4,4,12,Medium-Value Users
287,287,2012-12-17,14,18,6405,5,4,5,14,High-Value Users
288,288,2012-10-19,73,24,9039,3,4,5,12,Medium-Value Users
289,289,2012-12-16,15,22,7975,5,4,5,14,High-Value Users
290,290,2012-11-14,47,11,4660,3,4,4,11,Medium-Value Users
291,291,2012-12-10,21,17,6454,4,4,5,13,High-Value Users
292,292,2012-12-16,15,23,8540,5,4,5,14,High-Value Users
293,293,2012-09-04,118,11,4108,2,4,4,10,Medium-Value Users
294,294,2012-10-08,84,14,4933,3,4,4,11,Medium-Value Users
295,295,2012-11-21,40,9,3494,4,3,4,11,Medium-Value Users
296,296,2012-08-21,132,17,6316,2,4,4,10,Medium-Value Users
297,297,2012-12-21,10,14,5079,5,4,4,13,High-Value Users
298,298,2012-11-20,41,20,7364,4,4,5,13,High-Value Users
299,299,2012-10-13,79,22,8342,3,4,5,12,Medium-Value Users
300,300,2012-12-13,18,15,5940,4,4,4,12,Medium-Value Users
301,301,2012-10-17,75,14,5312,3,4,4,11,Medium-Value Users
302,302,2012-12-14,17,21,7520,4,4,5,13,High-Value Users
303,303,2012-12-20,11,12,4621,5,4,4,13,High-Value Users
304,304,2012-11-09,52,11,4427,3,4,4,11,Medium-Value Users
305,305,2012-12-14,17,15,5633,4,4,4,12,Medium-Value Users
306,306,2012-11-16,45,12,4614,4,4,4,12,Medium-Value Users
307,307,2012-12-18,13,8,3684,5,3,4,12,Medium-Value Users
308,308,2012-12-10,21,15,5690,4,4,4,12,Medium-Value Users
309,309,2012-12-19,12,12,5384,5,4,4,13,High-Value Users
310,310,2012-12-12,19,16,6166,4,4,4,12,Medium-Value Users
311,311,2012-12-02,29,14,5566,4,4,4,12,Medium-Value Users
312,312,2012-11-12,49,17,6855,3,4,5,12,Medium-Value Users
313,313,2012-11-30,31,13,4713,4,4,4,12,Medium-Value Users
314,314,2012-12-17,14,17,7422,5,4,5,14,High-Value Users
315,315,2012-09-21,101,12,5073,3,4,4,11,Medium-Value Users
316,316,2012-11-28,33,19,7801,4,4,5,13,High-Value Users
317,317,2012-12-04,27,16,6624,4,4,5,13,High-Value Users
318,318,2012-12-01,30,15,6107,4,4,4,12,Medium-Value Users
319,319,2012-11-03,58,10,4269,3,4,4,11,Medium-Value Users
320,320,2012-11-21,40,20,7653,4,4,5,13,High-Value Users
321,321,2012-11-08,53,10,4063,3,4,4,11,Medium-Value Users
322,322,2012-12-11,20,5,2325,4,3,3,10,Medium-Value Users
323,323,2012-12-18,13,19,7958,5,4,5,14,High-Value Users
324,324,2012-11-11,50,13,5881,3,4,4,11,Medium-Value Users
325,325,2012-11-19,42,13,5211,4,4,4,12,Medium-Value Users
326,326,2012-11-29,32,12,4773,4,4,4,12,Medium-Value Users
327,327,2012-12-15,16,11,4595,4,4,4,12,Medium-Value Users
328,328,2012-12-15,16,12,4759,4,4,4,12,Medium-Value Users
329,329,2012-12-19,12,16,6812,5,4,5,14,High-Value Users
330,330,2012-12-14,17,16,7280,4,4,5,13,High-Value Users
331,331,2012-12-02,29,14,5786,4,4,4,12,Medium-Value Users
332,332,2012-11-09,52,15,6233,3,4,4,11,Medium-Value Users
333,333,2012-12-17,14,12,4440,5,4,4,13,High-Value Users
334,334,2012-12-18,13,13,5277,5,4,4,13,High-Value Users
335,335,2012-11-20,41,16,6838,4,4,5,13,High-Value Users
336,336,2012-12-07,24,6,2378,4,3,3,10,Medium-Value Users
337,337,2012-12-07,24,14,6288,4,4,4,12,Medium-Value Users
338,338,2012-11-27,34,14,6249,4,4,4,12,Medium-Value Users
339,339,2012-11-03,58,10,4622,3,4,4,11,Medium-Value Users
340,340,2012-09-07,115,12,5371,2,4,4,10,Medium-Value Users
341,341,2012-12-08,23,9,4284,4,3,4,11,Medium-Value Users
342,342,2012-11-11,50,14,7402,3,4,5,12,Medium-Value Users
343,343,2012-11-17,44,13,5625,4,4,4,12,Medium-Value Users
344,344,2012-11-13,48,9,3680,3,3,4,10,Medium-Value Users
345,345,2012-10-09,83,8,3029,3,3,3,9,Low-Value Users
346,346,2012-12-20,11,17,7490,5,4,5,14,High-Value Users
347,347,2012-12-02,29,17,8063,4,4,5,13,High-Value Users
348,348,2012-11-10,51,15,6760,3,4,5,12,Medium-Value Users
349,349,2012-11-02,59,14,6179,3,4,4,11,Medium-Value Users
350,350,2012-12-16,15,12,5050,5,4,4,13,High-Value Users
351,351,2012-12-18,13,13,6156,5,4,4,13,High-Value Users
352,352,2012-12-15,16,14,5922,4,4,4,12,Medium-Value Users
353,353,2012-07-13,171,7,3079,2,3,3,8,Low-Value Users
354,354,2012-12-05,26,15,6885,4,4,5,13,High-Value Users
355,355,2012-11-26,35,11,5194,4,4,4,12,Medium-Value Users
356,356,2012-12-13,18,12,5540,4,4,4,12,Medium-Value Users
357,357,2012-10-09,83,11,5437,3,4,4,11,Medium-Value Users
358,358,2012-12-02,29,15,6918,4,4,5,13,High-Value Users
359,359,2012-12-20,11,9,3785,5,3,4,12,Medium-Value Users
360,360,2012-12-19,12,9,4217,5,3,4,12,Medium-Value Users
361,361,2012-11-20,41,16,7314,4,4,5,13,High-Value Users
362,362,2012-12-05,26,14,6348,4,4,4,12,Medium-Value Users
363,363,2012-11-26,35,11,5027,4,4,4,12,Medium-Value Users
364,364,2012-12-15,16,7,3161,4,3,3,10,Medium-Value Users
365,365,2012-08-12,141,9,4390,2,3,4,9,Low-Value Users
366,366,2012-12-12,19,11,5679,4,4,4,12,Medium-Value Users
367,367,2012-10-16,76,10,4415,3,4,4,11,Medium-Value Users
368,368,2012-12-15,16,16,7159,4,4,5,13,High-Value Users
369,369,2012-12-01,30,17,8177,4,4,5,13,High-Value Users
370,370,2012-10-27,65,7,3740,3,3,4,10,Medium-Value Users
371,371,2012-12-01,30,10,4781,4,4,4,12,Medium-Value Users
372,372,2012-12-14,17,12,6134,4,4,4,12,Medium-Value Users
373,373,2012-11-02,59,6,2839,3,3,3,9,Low-Value Users
374,374,2012-12-08,23,12,5228,4,4,4,12,Medium-Value Users
375,375,2012-11-15,46,8,3826,3,3,4,10,Medium-Value Users
376,376,2012-10-20,72,8,3768,3,3,4,10,Medium-Value Users
377,377,2012-11-09,52,12,5270,3,4,4,11,Medium-Value Users
378,378,2012-12-08,23,14,6409,4,4,5,13,High-Value Users
379,379,2012-10-04,88,7,3155,3,3,3,9,Low-Value Users
380,380,2012-12-13,18,8,3839,4,3,4,11,Medium-Value Users
381,381,2012-12-06,25,12,5346,4,4,4,12,Medium-Value Users
382,382,2012-10-22,70,6,2861,3,3,3,9,Low-Value Users
383,383,2012-11-10,51,8,4460,3,3,4,10,Medium-Value Users
384,384,2012-12-12,19,11,5101,4,4,4,12,Medium-Value Users
385,385,2012-09-20,102,7,3140,2,3,3,8,Low-Value Users
386,386,2012-12-01,30,9,4035,4,3,4,11,Medium-Value Users
387,387,2012-12-03,28,7,2870,4,3,3,10,Medium-Value Users
388,388,2012-10-27,65,12,6007,3,4,4,11,Medium-Value Users
389,389,2012-12-05,26,7,3250,4,3,3,10,Medium-Value Users
390,390,2012-11-11,50,5,2796,3,3,3,9,Low-Value Users
391,391,2012-12-04,27,14,6466,4,4,5,13,High-Value Users
392,392,2012-05-18,227,4,1733,2,3,3,8,Low-Value Users
393,393,2012-11-11,50,13,5846,3,4,4,11,Medium-Value Users
394,394,2012-08-10,143,7,3097,2,3,3,8,Low-Value Users
395,395,2012-09-07,115,2,886,2,2,2,6,Low-Value Users
396,396,2012-10-24,68,7,3076,3,3,3,9,Low-Value Users
397,397,2012-12-03,28,14,6220,4,4,4,12,Medium-Value Users
398,398,2012-05-16,229,7,3097,2,3,3,8,Low-Value Users
399,399,2012-12-08,23,15,7045,4,4,5,13,High-Value Users
400,400,2012-12-05,26,8,4435,4,3,4,11,Medium-Value Users
401,401,2012-10-27,65,6,3197,3,3,3,9,Low-Value Users
402,402,2012-09-16,106,6,2877,2,3,3,8,Low-Value Users
403,403,2012-11-28,33,6,2926,4,3,3,10,Medium-Value Users
404,404,2012-10-27,65,10,5400,3,4,4,11,Medium-Value Users
405,405,2012-11-14,47,8,4245,3,3,4,10,Medium-Value Users
406,406,2012-09-13,109,3,1368,2,2,2,6,Low-Value Users
407,407,2012-10-25,67,4,1808,3,3,3,9,Low-Value Users
408,408,2012-10-26,66,9,4557,3,3,4,10,Medium-Value Users
409,409,2012-12-10,21,8,3699,4,3,4,11,Medium-Value Users
410,410,2012-11-21,40,5,2517,4,3,3,10,Medium-Value Users
411,411,2012-11-20,41,7,3357,4,3,3,10,Medium-Value Users
412,412,2012-12-11,20,8,3949,4,3,4,11,Medium-Value Users
